carat,price
0.2,365.1666666666667
0.21,380.22222222222223
0.22,391.4
0.23,486.14334470989763
0.24,505.18503937007875
0.25,550.9245283018868
0.26,550.897233201581
0.27,574.7596566523605
0.28,580.1212121212121
0.29,601.1923076923077
0.3,680.3018433179724
0.31,708.2356602934638
0.32,720.1440217391304
0.33,765.7317073170732
0.34,756.3802197802198
0.35,800.6761619190405
0.36,781.3811188811189
0.37,816.0710659898477
0.38,904.4417910447761
0.39,922.3316582914573
0.4,932.7844495765974
0.41,973.6273516642547
0.42,994.4447592067988
0.43,995.1926229508197
0.44,1056.622641509434
0.45,1093.3181818181818
0.46,1237.5337078651685
0.47,1272.3131313131314
0.48,1322.047619047619
0.49,1306.3333333333333
0.5,1504.4586645468999
0.51,1624.408163265306
0.52,1655.577723378213
0.53,1683.5458392101552
0.54,1703.88
0.55,1725.4415322580646
0.56,1831.9979674796748
0.57,1796.3232558139534
0.58,1798.6483870967743
0.59,1831.450354609929
0.6,1949.811403508772
0.61,2069.2450980392155
0.62,1973.3703703703704
0.63,2244.7843137254904
0.64,2113.5875
0.65,2322.6153846153848
0.66,2235.7291666666665
0.67,2067.8541666666665
0.68,2334.32
0.69,2206.6153846153848
0.7,2516.0716809692076
0.71,2672.7805255023186
0.72,2705.778795811518
0.73,2791.2479674796746
0.74,2821.9006211180126
0.75,2763.401606425703
0.76,2889.593625498008
0.77,2884.398406374502
0.78,2918.909090909091
0.79,2990.8064516129034
0.8,3146.1901408450703
0.81,3094.425
0.82,3083.65
0.83,3181.992366412214
0.84,3294.984375
0.85,3204.1774193548385
0.86,3289.970588235294
0.87,3342.3225806451615
0.88,3431.3478260869565
0.89,3291.2380952380954
0.9,3939.1811447811447
0.91,3981.156140350877
0.92,4035.212389380531
0.93,3994.2957746478874
0.94,4195.779661016949
0.95,4013.6615384615384
0.96,3623.4660194174758
0.97,4026.237288135593
0.98,3469.7741935483873
0.99,4406.173913043478
1.0,5241.589858793325
1.01,5506.7756467439785
1.02,5598.463193657984
1.03,5581.711281070746
1.04,5770.458947368421
1.05,5781.681440443213
1.06,5943.477211796247
1.07,6000.862573099415
1.08,5774.341463414634
1.09,6010.104529616725
1.1,5906.082733812949
1.11,6005.568181818182
1.12,6044.490039840637
1.13,6193.40243902439
1.14,6354.536231884058
1.15,5959.906040268456
1.16,6274.296511627907
1.17,6224.881818181818
1.18,6481.1056910569105
1.19,6483.238095238095
1.2,6683.209302325581
1.21,6899.475687103594
1.22,6964.06
1.23,7273.602150537635
1.24,7134.957627118644
1.25,7123.2513368983955
1.26,7490.746575342466
1.27,7119.119402985075
1.28,7711.811320754717
1.29,7033.019801980198
1.3,7837.704918032787
1.31,7726.556390977444
1.32,7639.3707865168535
1.33,7527.080459770115
1.34,7758.5
1.35,7448.285714285715
1.36,8591.52
1.37,8044.086956521739
1.38,8164.307692307692
1.39,8335.111111111111
1.4,9108.52
1.41,9459.7
1.42,9487.2
1.43,9234.947368421053
1.44,8021.611111111111
1.45,8709.333333333334
1.46,8237.444444444445
1.47,7833.714285714285
1.48,8791.285714285714
1.49,9174.272727272728
1.5,10057.29760403531
1.51,10544.644361833953
1.52,10610.236220472441
1.53,10695.59090909091
1.54,10865.028735632184
1.55,10688.314516129032
1.56,10229.743119266055
1.57,10422.707547169812
1.58,11427.988764044943
1.59,10574.359550561798
1.6,11124.252631578947
1.61,10992.84375
1.62,11705.88524590164
1.63,11556.32
1.64,10738.0
1.65,10973.875
1.66,11084.5
1.67,12281.48
1.68,11779.105263157895
1.69,11878.083333333334
1.7,12110.320930232558
1.71,12396.55462184874
1.72,12040.315789473685
1.73,11875.961538461539
1.74,12270.325
1.75,12673.7
1.76,12398.57142857143
1.77,11103.176470588236
1.78,12504.583333333334
1.79,13144.066666666668
1.8,13057.52380952381
1.81,11374.444444444445
1.82,12986.153846153846
1.83,11930.0
1.84,11108.5
1.85,11436.0
1.86,12164.333333333334
1.87,12933.57142857143
1.88,10946.25
1.89,13969.0
1.9,11477.142857142857
1.91,12365.833333333334
1.92,15418.0
1.93,16828.166666666668
1.94,14189.333333333334
1.95,12340.666666666666
1.96,8642.25
1.97,15966.0
1.98,14667.8
1.99,14179.0
2.0,14076.762264150944
2.01,14735.13409090909
2.02,14786.841807909605
2.03,14710.11475409836
2.04,14840.17441860465
2.05,15555.402985074626
2.06,14377.833333333334
2.07,15384.28
2.08,15128.682926829268
2.09,15287.31111111111
2.1,14419.307692307691
2.11,14563.418604651162
2.12,15007.68
2.13,15220.42857142857
2.14,14905.041666666666
2.15,14187.181818181818
2.16,15860.48
2.17,14416.611111111111
2.18,14828.451612903225
2.19,15521.09090909091
2.2,15290.5625
2.21,15287.95652173913
2.22,14691.518518518518
2.23,13947.461538461539
2.24,15573.9375
2.25,13771.555555555555
2.26,15330.2
2.27,14198.416666666666
2.28,15422.95
2.29,15834.764705882353
2.3,14822.52380952381
2.31,15017.384615384615
2.32,16042.1875
2.33,14089.777777777777
2.34,11922.0
2.35,16090.42857142857
2.36,15756.75
2.37,16525.166666666668
2.38,15481.375
2.39,17182.428571428572
2.4,16362.461538461539
2.41,15808.2
2.42,16954.125
2.43,15356.0
2.44,16365.5
2.45,14593.75
2.46,14227.0
2.47,15644.0
2.48,16537.11111111111
2.49,13843.0
2.5,14255.117647058823
2.51,16616.882352941175
2.52,16242.111111111111
2.53,16548.875
2.54,15261.666666666666
2.55,15964.0
2.56,16723.333333333332
2.57,17841.666666666668
2.58,14481.333333333334
2.59,16465.0
2.6,17535.0
2.61,16583.0
